Papel,Empresa,Setor,Cotação,P/L,EV/EBITDA,P/VP,ROE,Div.Yield,Cresc. Rec.5a,Dív.Brut/ Patrim.,Patrim. Líq
JBSS3,JBS,Alimentos Processados,22.45,41.29,-2.96,1.19,2.87,4.45,17.85,2.58,41972500000.0
SCAR3,SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,Exploração de Imóveis,27.18,41.44,9.29,1.03,2.48,0.0,17.32,1.2,1525820000.0
RAIL3,RUMO S.A.,Transporte,23.43,45.16,10.29,2.73,6.04,0.28,11.29,1.2,15936700000.0
PETZ3,PETZ,Comércio,3.55,51.25,3.27,0.91,1.78,0.48,27.01,0.25,1801540000.0
HBSA3,HIDROVIAS,Transporte,3.59,51.41,7.67,1.72,3.35,0.0,10.94,2.75,1585400000.0
CEAB3,CEA MODAS,Comércio,8.1,53.69,2.68,0.88,1.64,0.0,16.69,0.61,2842690000.0
CSAB3,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA,Previdência e Seguros,30.5,58.43,0.0,1.11,1.89,1.97,-17.83,0.0,211654000.0
ENEV3,ENEVA,Energia Elétrica,12.36,59.03,9.32,1.51,2.56,0.0,35.9,1.83,12943500000.0
APER3,ALPER S.A.,Previdência e Seguros,43.28,59.59,10.59,1.85,3.1,0.72,37.78,0.11,477848000.0
BRIV4,ALFA DE INVESTIMENTO,Intermediários Financeiros,11.19,62.53,0.0,0.59,0.95,5.85,-44.72,0.0,1671490000.0
MERC4,MERCANTIL BRASIL,Intermediários Financeiros,11.0,71.57,0.0,0.82,1.15,4.09,-18.06,0.0,241486000.0
DTCY3,DTCOM,Serviços Diversos,4.99,81.56,-93.29,-33.56,-41.15,0.0,-16.58,-0.61,-1655000.0
ENAT3,ENAUTA PART,"Petróleo, Gás e Biocombustíveis",22.24,85.49,7.67,1.53,1.78,0.67,17.25,0.68,3876330000.0
NINJ3,GETNINJAS,Programas e Serviços,5.05,85.85,0.81,0.9,1.05,0.0,3.33,0.0,285195000.0
IRBR3,IRBBRASIL RE,Previdência e Seguros,40.51,88.57,0.0,0.8,0.9,0.0,0.0,0.0,4169510000.0
JALL3,JALLESMACHAD,Alimentos Processados,7.47,104.24,6.35,1.09,1.05,5.75,9.8,1.94,2072120000.0
CRFB3,CARREFOUR BR,Comércio e Distribuição,11.13,119.72,6.53,1.19,0.99,1.33,17.54,1.05,19775000000.0
PATI3,PANATLANTICA,Siderurgia e Metalurgia,26.19,120.03,9.92,0.74,0.62,1.84,20.76,0.54,845677000.0
SRNA3,SERENA,Energia Elétrica,10.04,120.85,12.52,1.23,1.02,0.0,42.25,1.86,5079960000.0
SIMH3,SIMPAR,Holdings Diversificadas,7.43,124.91,4.77,1.85,1.48,0.25,57.38,11.75,3498440000.0
