Papel,Empresa,Setor,Cotação,P/L,EV/EBITDA,P/VP,ROE,Div.Yield,Cresc. Rec.5a,Dív.Brut/ Patrim.,Patrim. Líq
MGEL4,MANGELS,Siderurgia e Metalurgia,13.35,0.36,7.07,3.28,903.95,0.0,19.62,28.33,23562000.0
HOOT4,HOTEIS OTHON S.A.,Hoteis e Restaurantes,2.83,0.41,0.23,-0.25,-60.53,0.0,25.89,0.0,-208906000.0
RNEW4,RENOVA,Energia Elétrica,1.34,0.54,15.91,0.41,76.22,0.0,12.88,1.3,807164000.0
IGBR3,GRADIENTE,Exploração de Imóveis,175.99,0.56,-8.21,-0.34,-60.1,0.0,13.97,-0.54,-650957000.0
BDLL4,BARDELLA,Máquinas e Equipamentos,8.01,0.91,-4.4,-0.08,-9.03,0.0,-2.96,-1.19,-155603000.0
AHEB3,PARQUE ANHEMBI,Viagens e Lazer,15.5,1.36,1.03,7.93,582.53,0.0,44.22,0.25,16700000.0
HAGA4,HAGA,Construção e Engenharia,1.05,1.73,-557.04,-0.23,-13.04,0.0,5.46,-0.37,-55516000.0
CTKA3,KARSTEN,"Tecidos, Vestuário e Calçados",13.01,2.1,6.91,-0.65,-30.92,0.0,20.28,-4.11,-124171000.0
LUPA3,LUPATECH,"Petróleo, Gás e Biocombustíveis",1.89,2.16,-37.77,0.49,22.52,0.0,-3.34,0.93,159208000.0
HBTS5,CIA HABITASUL,Exploração de Imóveis,35.0,3.0,-210.57,0.55,18.44,6.83,-3.4,0.39,578569000.0
GOAU4,METALÚRGICA GERDAU,Siderurgia e Metalurgia,9.99,3.76,1.1,0.57,15.29,15.93,20.96,0.64,17948100000.0
BRAP3,BRADESPAR S/A,Mineração,20.87,3.87,-377.03,1.02,26.44,13.16,0.0,0.0,8023720000.0
CEDO3,CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,"Tecidos, Vestuário e Calçados",24.84,3.88,1.98,1.34,34.57,0.0,20.19,1.36,185170000.0
SUZB3,Suzano Papel,Madeira e Papel,53.05,4.06,5.88,1.66,40.79,2.23,19.99,1.88,41762300000.0
PETR4,PETROBRAS,"Petróleo, Gás e Biocombustíveis",42.69,4.07,2.52,1.44,35.47,16.98,20.27,0.79,386007000000.0
BAZA3,BANCO DA AMAZONIA S.A.,Intermediários Financeiros,88.3,4.14,0.0,0.85,20.56,6.27,32.96,0.0,5811580000.0
ALOS3,ALLOS,Exploração de Imóveis,23.47,4.3,7.38,0.92,21.32,2.21,37.27,0.0,14703000000.0
GGBR3,GERDAU S.A.,Siderurgia e Metalurgia,19.98,4.32,3.02,0.69,16.07,8.01,20.96,0.23,50600900000.0
CLSC3,CELESC,Energia Elétrica,65.02,4.39,4.17,0.79,17.93,5.18,8.84,0.77,3187480000.0
BNBR3,BANCO DO NORDESTE,Intermediários Financeiros,117.0,4.47,0.0,0.98,22.0,5.3,19.79,0.0,10267000000.0
MEAL3,IMC S/A,Hoteis e Restaurantes,1.83,4.48,4.51,0.47,10.51,0.0,14.44,0.45,1112260000.0
TECN3,TECHNOS,"Tecidos, Vestuário e Calçados",3.37,4.52,4.49,0.63,13.89,0.0,5.7,0.26,380137000.0
EPAR3,EMBPAR S/A,Comércio,9.7,4.55,9.27,1.16,25.58,39.86,8.24,0.01,123860000.0
CALI3,CAL S/A,Construção Civil,17.5,4.63,6.78,2.03,43.82,2.55,129.0,1.69,32123000.0
NTCO3,GRUPO NATURA,Produtos de Uso Pessoal e de Limpeza,16.32,4.76,5.56,0.81,16.95,0.0,-5.86,0.22,28029100000.0
MTSA4,METISA,Máquinas e Equipamentos,47.98,4.84,2.91,0.98,20.2,7.22,28.21,0.08,431507000.0
CMIG4,CEMIG,Energia Elétrica,11.66,4.86,3.55,1.05,21.64,11.07,11.86,0.5,24427800000.0
BBAS3,BANCO DO BRASIL S.A.,Intermediários Financeiros,57.87,4.93,0.0,1.01,20.54,7.89,24.34,0.0,163638000000.0
PINE4,Pine,Intermediários Financeiros,4.43,5.12,0.0,0.94,18.37,6.23,49.0,0.0,984479000.0
SAPR3,SANEPAR,Água e Saneamento,5.1,5.13,3.82,0.79,15.43,5.5,7.69,0.59,9744200000.0
EQMA3B,CEMAR,Energia Elétrica,29.49,5.23,4.24,1.32,25.31,9.47,11.07,0.73,3657630000.0
CEEB5,COELBA,Energia Elétrica,36.85,5.25,4.7,1.5,28.57,12.36,10.55,2.22,6437000000.0
RANI3,IRANI,Madeira e Papel,10.22,5.3,5.57,1.9,35.81,8.58,18.05,1.23,1290940000.0
POSI3,POSITIVO TEC,Computadores e Equipamentos,7.17,5.32,4.39,0.7,13.21,7.17,24.26,0.87,1447110000.0
EUCA4,EUCATEX,Madeira e Papel,16.06,5.41,3.13,0.67,12.46,5.73,17.67,0.34,2205650000.0
MOAR3,MONTEIRO ARANHA,Holdings Diversificadas,398.97,5.53,-151.1,3.21,58.02,7.74,-81.25,0.71,1524140000.0
BOBR4,BOMBRIL SA,Produtos de Uso Pessoal e de Limpeza,2.32,5.63,3.96,-8.4,-149.2,0.0,8.52,-5.84,-71947000.0
NEOE3,NEOENERGIA,Energia Elétrica,21.18,5.76,5.43,0.86,14.94,6.23,12.5,1.54,29866000000.0
CGRA3,GRAZZIOTIN,Comércio,24.75,5.79,3.28,0.57,9.8,10.71,12.06,0.0,875781000.0
MTRE3,MITRE REALTY,Construção Civil,4.87,5.96,17.43,0.53,8.85,15.59,32.44,0.63,976846000.0
BMEB3,BANCO MERCANTIL DO BRASIL S/A,Intermediários Financeiros,23.95,5.97,0.0,1.62,27.1,6.18,18.7,0.0,1553050000.0
COCE5,CIA ENERG CEARA - COELCE,Energia Elétrica,41.64,6.03,4.41,0.76,12.68,0.74,15.87,1.37,4242320000.0
PLAS3,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,Automóveis e Motocicletas,7.0,6.05,13.73,-0.24,-4.02,0.0,29.08,-0.83,-357440000.0
CAMB3,PENALTY,"Tecidos, Vestuário e Calçados",11.2,6.17,4.06,2.16,35.03,2.66,28.07,0.13,219208000.0
EALT3,ELECTRO AÇO ALTONA S/A,Máquinas e Equipamentos,9.31,6.2,4.79,0.91,14.61,3.69,17.38,0.51,231271000.0
RDNI3,RNI,Construção Civil,4.31,6.26,1617.83,0.32,5.18,3.35,25.9,1.39,581354000.0
LEVE3,MAHLE METAL LEVE,Automóveis e Motocicletas,33.45,6.32,4.93,2.89,45.73,27.97,18.5,0.31,1568530000.0
KEPL3,KEPLER WEBER SA,Máquinas e Equipamentos,9.34,6.35,4.63,2.46,38.76,9.2,33.78,0.31,681618000.0
CSMG3,COPASA MG,Água e Saneamento,21.79,6.41,4.75,1.05,16.38,13.28,8.53,0.58,7891110000.0
VALE3,VALE,Mineração,67.68,6.47,3.73,1.62,24.99,8.98,10.73,0.37,190172000000.0
ROMI3,ROMI,Máquinas e Equipamentos,12.42,6.72,9.29,0.94,14.03,6.55,15.45,0.67,1169510000.0
MRSA5B,MRS LOGÍSTICA S/A,Transporte,23.06,6.78,4.63,1.22,18.03,2.81,15.84,0.73,6375910000.0
MRSA5B,MRS LOGÍSTICA S/A,Transporte,23.06,6.78,4.63,1.22,18.03,2.81,15.84,0.73,6375910000.0
CEBR5,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,Energia Elétrica,18.55,6.86,8.25,1.28,18.63,14.29,-44.74,0.0,1045450000.0
CIEL3,CIELO,Serviços Financeiros Diversos,5.28,6.87,4.31,1.17,17.02,5.37,-8.03,0.63,12258800000.0
ABCB4,ABC Brasil,Intermediários Financeiros,24.75,6.89,0.0,1.0,14.5,6.22,45.86,0.0,5871730000.0
BLAU3,BLAU,Comércio e Distribuição,12.22,6.93,7.13,1.11,16.03,3.46,9.37,0.31,1974820000.0
BRSR3,BANRISUL S/A,Intermediários Financeiros,14.79,6.95,0.0,0.63,9.01,6.2,2.57,0.0,9662090000.0
FESA4,FERBASA,Siderurgia e Metalurgia,9.51,7.0,3.74,1.03,14.76,7.2,24.39,0.09,3248510000.0
MDNE3,MOURA DUBEUX,Construção Civil,10.98,7.03,4.87,0.71,10.15,0.0,32.01,0.19,1306870000.0
DEXP4,DEXXOS PAR,Químicos,12.0,7.07,4.31,1.63,23.11,4.12,28.46,0.42,690501000.0
GEPA4,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",Energia Elétrica,25.67,7.11,3.92,1.14,16.06,7.7,-0.98,0.35,2123240000.0
CSRN6,COSERN,Energia Elétrica,25.38,7.27,6.06,2.76,37.97,11.51,9.21,1.75,1546000000.0
TRPL4,TRANSMISSÃO PAULISTA,Energia Elétrica,26.33,7.34,7.7,0.97,13.14,8.37,13.91,0.5,17977200000.0
RECV3,PETRORECONCA,"Petróleo, Gás e Biocombustíveis",23.35,7.36,4.86,1.55,21.02,4.24,16.79,0.21,4429210000.0
BGIP4,BANESE,Intermediários Financeiros,25.8,7.38,0.0,0.74,10.09,13.03,-0.05,0.0,616709000.0
SHUL4,SCHULZ,Máquinas e Equipamentos,6.43,7.42,6.31,1.83,24.66,4.54,22.48,0.57,1254950000.0
DXCO3,DEXCO,Madeira e Papel,7.42,7.5,4.98,0.95,12.66,2.9,14.39,0.95,6411570000.0
BMKS3,MONARK,Viagens e Lazer,360.0,7.51,-1.02,0.8,10.66,16.05,-3.34,0.03,204650000.0
SLCE3,SLC Agricola,Agropecuária,19.5,7.52,4.72,1.66,22.13,6.52,38.75,0.98,5197090000.0
EKTR3,ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,Energia Elétrica,38.0,7.58,4.94,2.46,32.38,10.14,7.32,1.84,2999000000.0
ETER3,ETERNIT,Construção e Engenharia,7.15,7.59,4.67,0.62,8.19,4.7,26.19,0.21,710421000.0
TRIS3,Trisul,Construção Civil,4.34,7.59,17.39,0.61,8.01,3.16,4.21,0.76,1332140000.0
POMO3,MARCOPOLO,Material de Transporte,6.42,7.63,7.51,1.8,23.64,5.17,10.55,0.73,3369750000.0
TTEN3,3TENTOS,Agropecuária,9.63,7.66,8.59,1.51,19.74,0.0,27.67,0.4,3172940000.0
TKNO4,TEKNO,Siderurgia e Metalurgia,69.9,7.68,4.95,0.73,9.55,6.25,20.09,0.01,280762000.0
CPFE3,CPFL ENERGIA S.A.,Energia Elétrica,35.86,7.7,4.79,2.27,29.54,8.05,10.03,1.38,18172700000.0
PSSA3,PORTO SEGURO SA,Previdência e Seguros,26.12,7.77,0.21,1.42,18.33,5.4,15.92,0.0,11857900000.0
ITSA3,ITAÚSA,Intermediários Financeiros,10.43,7.8,56.98,1.35,17.31,5.27,14.42,0.14,79738000000.0
RSUL4,METALURGICA RIOSULENSE S/A,Material de Transporte,78.25,7.82,4.11,2.67,34.14,3.64,26.85,0.04,177966000.0
